Site_ID,site,Cell_Name,ci,band
NAD086,NAD086MM1-KEUDAH,NAD086ML1,11,1850
NAD086,NAD086MM1-KEUDAH,NAD086ML2,21,1850
NAD086,NAD086MM1-KEUDAH,NAD086ML3,31,1850
NAD092,NAD092MM1-SMAN-2-BANDA-ACEH,NAD092ML1,11,1850
NAD092,NAD092MM1-SMAN-2-BANDA-ACEH,NAD092ML2,21,1850
NAD092,NAD092MM1-SMAN-2-BANDA-ACEH,NAD092ML3,31,1850
NAD039,NAD039MM1-NEUSU,NAD039ML1,11,1850
NAD039,NAD039MM1-NEUSU,NAD039ML2,21,1850
NAD039,NAD039MM1-NEUSU,NAD039ML3,31,1850
NAD045,NAD045MM1-BERAWE,NAD045ML1,11,1850
NAD045,NAD045MM1-BERAWE,NAD045ML2,21,1850
NAD046,NAD046MM2-DARUSSALAM2,NAD046ML1,11,1850
NAD046,NAD046MM2-DARUSSALAM2,NAD046ML2,21,1850
NAD046,NAD046MM2-DARUSSALAM2,NAD046ML3,31,1850
NAD204,NAD204MM1-KUTA-ALAM,NAD204ML1,11,1850
NAD204,NAD204MM1-KUTA-ALAM,NAD204ML2,21,1850
NAD204,NAD204MM1-KUTA-ALAM,NAD204ML3,31,1850
NAD593,E_NAD593MM2_ATEUKJAWO,NAD593ML1,11,1850
NAD593,E_NAD593MM2_ATEUKJAWO,NAD593ML2,21,1850
NAD593,E_NAD593MM2_ATEUKJAWO,NAD593ML3,31,1850
NAD599,NAD599MM1-NEUSU-BAKTI,NAD599ML3,31,1850
NAD608,NAD608MM2-BAITURAHMAN,NAD608ML1,11,1850
NAD608,NAD608MM2-BAITURAHMAN,NAD608ML2,21,1850
NAD004,NAD004MM1-DARUSSALAM-HUB-TEL,NAD004ML1,11,1850
NAD004,NAD004MM1-DARUSSALAM-HUB-TEL,NAD004ML2,21,1850
NAD004,NAD004MM1-DARUSSALAM-HUB-TEL,NAD004ML3,31,1850
NAD050,NAD050MM1-MAKAM-PAHLAWAN,NAD050ML1,11,1850
NAD050,NAD050MM1-MAKAM-PAHLAWAN,NAD050ML2,21,1850
NAD050,NAD050MM1-MAKAM-PAHLAWAN,NAD050ML3,31,1850
NAD597,E-NAD597MM1-PULO-DIBAROH,NAD597ML1,11,1850
NAD597,E-NAD597MM1-PULO-DIBAROH,NAD597ML2,21,1850
NAD597,E-NAD597MM1-PULO-DIBAROH,NAD597ML3,31,1850
